Año;Semana;DiaInicio;DiaFinal;Total
2017;2017-7;13/02/2017;19/02/2017;3665
2017;2017-8;20/02/2017;26/02/2017;3650
2017;2017-9;27/02/2017;5/03/2017;3663
2017;2017-10;6/03/2017;12/03/2017;3746
2017;2017-11;13/03/2017;19/03/2017;3637
2017;2017-12;20/03/2017;26/03/2017;3619
2017;2017-13;27/03/2017;2/04/2017;3699
2017;2017-14;3/04/2017;9/04/2017;3822
2017;2017-15;10/04/2017;16/04/2017;3679
2017;2017-16;17/04/2017;23/04/2017;3715
2017;2017-17;24/04/2017;30/04/2017;3743
2017;2017-18;1/05/2017;7/05/2017;3498
2017;2017-19;8/05/2017;14/05/2017;3682
2017;2017-20;15/05/2017;21/05/2017;3934
2017;2017-21;22/05/2017;28/05/2017;3804
2017;2017-22;29/05/2017;4/06/2017;3893
2017;2017-23;5/06/2017;11/06/2017;3799
2017;2017-24;12/06/2017;18/06/2017;3829
2017;2017-25;19/06/2017;25/06/2017;3623
2017;2017-26;26/06/2017;2/07/2017;3812
2017;2017-27;3/07/2017;9/07/2017;3809
2017;2017-28;10/07/2017;16/07/2017;3826
2017;2017-29;17/07/2017;23/07/2017;3815
2017;2017-30;24/07/2017;30/07/2017;3730
2017;2017-31;31/07/2017;6/08/2017;3792
2017;2017-32;7/08/2017;13/08/2017;3755
2017;2017-33;14/08/2017;20/08/2017;3853
2017;2017-34;21/08/2017;27/08/2017;3713
2017;2017-35;28/08/2017;3/09/2017;3726
2017;2017-36;4/09/2017;10/09/2017;3737
2017;2017-37;11/09/2017;17/09/2017;3820
2017;2017-38;18/09/2017;24/09/2017;3841
2017;2017-39;25/09/2017;1/10/2017;3783
2017;2017-40;2/10/2017;8/10/2017;3775
2017;2017-41;9/10/2017;15/10/2017;3805
2017;2017-42;16/10/2017;22/10/2017;3884
2017;2017-43;23/10/2017;29/10/2017;3697
2017;2017-44;30/10/2017;5/11/2017;3713
2017;2017-45;6/11/2017;12/11/2017;3813
2017;2017-46;13/11/2017;19/11/2017;3711
2017;2017-47;20/11/2017;26/11/2017;3732
2017;2017-48;27/11/2017;3/12/2017;3817
2017;2017-49;4/12/2017;10/12/2017;3904
2017;2017-50;11/12/2017;17/12/2017;3864
2017;2017-51;18/12/2017;24/12/2017;3904
2017;2017-52;25/12/2017;31/12/2017;3937
2018;2018-1;1/01/2018;7/01/2018;4010
2018;2018-2;8/01/2018;14/01/2018;3914
2018;2018-3;15/01/2018;21/01/2018;4000
2018;2018-4;22/01/2018;28/01/2018;4056
2018;2018-5;29/01/2018;4/02/2018;3886
2018;2018-6;5/02/2018;11/02/2018;3822
2018;2018-7;12/02/2018;18/02/2018;3807
2018;2018-8;19/02/2018;25/02/2018;3710
2018;2018-9;26/02/2018;4/03/2018;3807
2018;2018-10;5/03/2018;11/03/2018;3961
2018;2018-11;12/03/2018;18/03/2018;3981
2018;2018-12;19/03/2018;25/03/2018;3803
2018;2018-13;26/03/2018;1/04/2018;3698
2018;2018-14;2/04/2018;8/04/2018;3765
2018;2018-15;9/04/2018;15/04/2018;3763
2018;2018-16;16/04/2018;22/04/2018;3767
2018;2018-17;23/04/2018;29/04/2018;3877
2018;2018-18;30/04/2018;6/05/2018;3966
2018;2018-19;7/05/2018;13/05/2018;3910
2018;2018-20;14/05/2018;20/05/2018;4112
2018;2018-21;21/05/2018;27/05/2018;4130
2018;2018-22;28/05/2018;3/06/2018;4143
2018;2018-23;4/06/2018;10/06/2018;4257
2018;2018-24;11/06/2018;17/06/2018;4235
2018;2018-25;18/06/2018;24/06/2018;4251
2018;2018-26;25/06/2018;1/07/2018;4319
2018;2018-27;2/07/2018;8/07/2018;4243
2018;2018-28;9/07/2018;15/07/2018;4182
2018;2018-29;16/07/2018;22/07/2018;4122
2018;2018-30;23/07/2018;29/07/2018;3953
2018;2018-31;30/07/2018;5/08/2018;3944
2018;2018-32;6/08/2018;12/08/2018;3984
2018;2018-33;13/08/2018;19/08/2018;4024
2018;2018-34;20/08/2018;26/08/2018;3913
2018;2018-35;27/08/2018;2/09/2018;3890
2018;2018-36;3/09/2018;9/09/2018;3852
2018;2018-37;10/09/2018;16/09/2018;3871
2018;2018-38;17/09/2018;23/09/2018;3825
2018;2018-39;24/09/2018;30/09/2018;3785
2018;2018-40;1/10/2018;7/10/2018;3745
2018;2018-41;8/10/2018;14/10/2018;3754
2018;2018-42;15/10/2018;21/10/2018;3741
2018;2018-43;22/10/2018;28/10/2018;3690
2018;2018-44;29/10/2018;4/11/2018;3816
2018;2018-45;5/11/2018;11/11/2018;3801
2018;2018-46;12/11/2018;18/11/2018;3965
2018;2018-47;19/11/2018;25/11/2018;3874
2018;2018-48;26/11/2018;2/12/2018;4041
2018;2018-49;3/12/2018;9/12/2018;4079
2018;2018-50;10/12/2018;16/12/2018;4151
2018;2018-51;17/12/2018;23/12/2018;4176
2018;2018-52;24/12/2018;30/12/2018;4271
2019;2019-1;31/12/2018;6/01/2019;4604
2019;2019-2;7/01/2019;13/01/2019;4126
2019;2019-3;14/01/2019;20/01/2019;4277
2019;2019-4;21/01/2019;27/01/2019;4071
2019;2019-5;28/01/2019;3/02/2019;3952
2019;2019-6;4/02/2019;10/02/2019;3955
2019;2019-7;11/02/2019;17/02/2019;3918
2019;2019-8;18/02/2019;24/02/2019;3931
2019;2019-9;25/02/2019;3/03/2019;3850
2019;2019-10;4/03/2019;10/03/2019;3808
2019;2019-11;11/03/2019;17/03/2019;3889
2019;2019-12;18/03/2019;24/03/2019;3938
2019;2019-13;25/03/2019;31/03/2019;3926
2019;2019-14;1/04/2019;7/04/2019;3889
2019;2019-15;8/04/2019;14/04/2019;3948
2019;2019-16;15/04/2019;21/04/2019;3874
2019;2019-17;22/04/2019;28/04/2019;3889
2019;2019-18;29/04/2019;5/05/2019;4000
2019;2019-19;6/05/2019;12/05/2019;4045
2019;2019-20;13/05/2019;19/05/2019;3855
2019;2019-21;20/05/2019;26/05/2019;4083
2019;2019-22;27/05/2019;2/06/2019;3992
2019;2019-23;3/06/2019;9/06/2019;4231
2019;2019-24;10/06/2019;16/06/2019;4151
2019;2019-25;17/06/2019;23/06/2019;4357
2019;2019-26;24/06/2019;30/06/2019;4170
2019;2019-27;1/07/2019;7/07/2019;4244
2019;2019-28;8/07/2019;14/07/2019;4285
2019;2019-29;15/07/2019;21/07/2019;4358
2019;2019-30;22/07/2019;28/07/2019;4057
2019;2019-31;29/07/2019;4/08/2019;4143
2019;2019-32;5/08/2019;11/08/2019;4097
2019;2019-33;12/08/2019;18/08/2019;4078
2019;2019-34;19/08/2019;25/08/2019;4281
2019;2019-35;26/08/2019;1/09/2019;4200
2019;2019-36;2/09/2019;8/09/2019;4106
2019;2019-37;9/09/2019;15/09/2019;3990
2019;2019-38;16/09/2019;22/09/2019;4069
2019;2019-39;23/09/2019;29/09/2019;3893
2019;2019-40;30/09/2019;6/10/2019;4024
2019;2019-41;7/10/2019;13/10/2019;3982
2019;2019-42;14/10/2019;20/10/2019;4014
2019;2019-43;21/10/2019;27/10/2019;4114
2019;2019-44;28/10/2019;3/11/2019;4125
2019;2019-45;4/11/2019;10/11/2019;4108
2019;2019-46;11/11/2019;17/11/2019;4120
2019;2019-47;18/11/2019;24/11/2019;4191
2019;2019-48;25/11/2019;1/12/2019;4162
